iter	Logloss
0	0.6640291088
1	0.6341696616
2	0.6068789738
3	0.5841789551
4	0.5581756781
5	0.5443471359
6	0.5280442906
7	0.5138804664
8	0.4933405363
9	0.4762897662
10	0.4644472255
11	0.4499721872
12	0.4370784131
13	0.4239563991
14	0.4135340398
15	0.4045682861
16	0.3953095472
17	0.3858391254
18	0.3777646231
19	0.3713223828
20	0.3626895891
21	0.3549460337
22	0.3475827504
23	0.3427813786
24	0.3356242795
25	0.3309068324
26	0.3233101529
27	0.3168346592
28	0.3139793285
29	0.3097758323
30	0.3037393785
31	0.2987201099
32	0.2939040634
33	0.2886894531
34	0.2822368068
35	0.2778891508
36	0.274639154
37	0.2710793174
38	0.2667944355
39	0.2616592033
40	0.2575238418
41	0.2518509678
42	0.2488317044
43	0.2452356351
44	0.2447166508
45	0.241712828
46	0.2372712799
47	0.2338291757
48	0.230690009
49	0.2266388079
50	0.224238318
51	0.2208646776
52	0.2177500323
53	0.216426871
54	0.2126678045
55	0.2111185399
56	0.2064369895
57	0.2030934563
58	0.1990160691
59	0.1971899055
60	0.194779187
61	0.1912940432
62	0.1902601337
63	0.1882842793
64	0.1866241059
65	0.1858436848
66	0.1832132687
67	0.1804733516
68	0.178571785
69	0.1770713782
70	0.1750106579
71	0.1725001835
72	0.170085802
73	0.1676584803
74	0.1658238151
75	0.1641134562
76	0.1618232001
77	0.1595514825
78	0.1584115463
79	0.1557164445
80	0.1531479684
81	0.1521182886
82	0.1493804302
83	0.1472547599
84	0.1466080671
85	0.1455885449
86	0.143475338
87	0.1420728452
88	0.1414755135
89	0.1398751519
90	0.1372862674
91	0.1364823895
92	0.1356019306
93	0.1345355996
94	0.1328276828
95	0.1312251172
96	0.1296847286
97	0.12803074
98	0.1265988152
99	0.125082391
100	0.1237562113
101	0.1222965779
102	0.1216867591
103	0.1206131938
104	0.1187568819
105	0.1175326408
106	0.1162540449
107	0.1156650014
108	0.1149126355
109	0.1132091251
110	0.1115663904
111	0.111339375
112	0.1106573043
113	0.1095284253
114	0.1079718616
115	0.1067529643
116	0.1056588596
117	0.1050458449
118	0.1037131186
119	0.1028728076
120	0.1016930444
121	0.1007314769
122	0.09989227696
123	0.09908129241
124	0.09806546815
125	0.09719062467
126	0.09659580005
127	0.09568700522
128	0.09506218675
129	0.0937782457
130	0.09275752805
131	0.09196678843
132	0.09105727883
133	0.0902512848
134	0.08930194986
135	0.08815775531
136	0.08703421671
137	0.08625931067
138	0.08508952967
139	0.08478987149
140	0.0843091102
141	0.08368681282
142	0.0825501206
143	0.08153348703
144	0.08033940592
145	0.07934296124
146	0.07823876562
147	0.07777413429
148	0.07720900976
149	0.0765342507
150	0.07584379142
151	0.07471123782
152	0.07393357578
153	0.07347902905
154	0.07255742425
155	0.07180542003
156	0.07100237226
157	0.07016388734
158	0.06935464854
159	0.06839228203
160	0.0680358657
161	0.06766778637
162	0.06705824727
163	0.06617239422
164	0.0652760635
165	0.06458008662
166	0.0639584411
167	0.06330866657
168	0.06280725186
169	0.06222311195
170	0.06139059877
171	0.06072366969
172	0.06015229871
173	0.05963096463
174	0.05912507712
175	0.05841535924
176	0.05790271672
177	0.05743961429
178	0.05689735013
179	0.05631184482
180	0.05593586768
181	0.0556740946
182	0.05499096013
183	0.05437783213
184	0.05384672645
185	0.05323089386
186	0.05278130334
187	0.05231559574
188	0.05191843738
189	0.05135123873
190	0.05085501909
191	0.05052013497
192	0.05011170727
193	0.04973341398
194	0.04926259969
195	0.04895024538
196	0.04853075353
197	0.04813293897
198	0.04782842158
199	0.04757918773
200	0.04721794797
201	0.04672852005
202	0.04633752733
203	0.04591022459
204	0.04544030282
205	0.04524091327
206	0.04477264283
207	0.0441989424
208	0.04383163501
209	0.04346019158
210	0.0431722318
211	0.04298959655
212	0.04258879219
213	0.04226325953
214	0.04198167757
215	0.04180936497
216	0.0415105415
217	0.04134587844
218	0.04089799723
219	0.04056664741
220	0.04026001622
221	0.03997057095
222	0.03964682241
223	0.03934893554
224	0.03897393768
225	0.03874590092
226	0.03853969443
227	0.03830674569
228	0.03808546822
229	0.03788994827
230	0.03766179452
231	0.03736651479
232	0.03709103292
233	0.03689147776
234	0.03675370279
235	0.03641327782
236	0.03608642498
237	0.03586426029
238	0.0356800294
239	0.03534240101
240	0.03501834558
241	0.03469059292
242	0.03446282199
243	0.03411884162
244	0.03390052894
245	0.03369459412
246	0.03352601233
247	0.03334797926
248	0.03305762567
249	0.03292133745
250	0.03276274599
251	0.03242067661
252	0.03225724749
253	0.03196166673
254	0.03165007205
255	0.03143372617
256	0.03122835977
257	0.03104870727
258	0.0308561457
259	0.03075423468
260	0.03066031293
261	0.03052752568
262	0.03043419114
263	0.03026165637
264	0.03000316186
265	0.02978188888
266	0.029549196
267	0.02933455359
268	0.02913018162
269	0.02893586047
270	0.02878610265
271	0.02855415372
272	0.02839503424
273	0.02822700138
274	0.02806038003
275	0.02778254371
276	0.0276257115
277	0.02742262318
278	0.02733774129
279	0.02709262755
280	0.02697050173
281	0.02680822645
282	0.02666001348
283	0.02650468581
284	0.02631713057
285	0.0262152764
286	0.02611013355
287	0.02600900755
288	0.02590425748
289	0.0257370041
290	0.02558849916
291	0.0255160371
292	0.02530374072
293	0.02516905757
294	0.02503349601
295	0.02486811404
296	0.02474891914
297	0.02461691642
298	0.0244305107
299	0.02431820019
